1	23	31	24	32	31	29
1	32	27	25	29	31	29
1	24	29	24	33	36	35
1	30	32	27	29	37	33
1	28	28	23	27	36	28
2	29	36	31	35	34	32
2	27	31	26	25	30	31
2	37	37	35	38	35	36
2	29	30	24	24	31	33
2	31	30	30	31	37	35
2	25	31	26	33	32	39
3	31	31	34	35	34	31
3	37	31	30	31	26	27
3	38	35	35	33	30	33
3	27	24	22	34	29	29
3	33	29	34	34	33	33
4	28	24	21	21	24	30
4	31	32	33	32	35	37
4	27	24	25	27	24	27
4	22	25	15	25	28	28
4	29	32	26	25	25	25
4	30	28	25	33	31	33
4	30	23	23	32	37	35
4	29	28	24	29	29	31
5	40	38	42	34	37	37
5	33	33	37	26	34	31
5	29	24	30	35	37	35
5	34	31	33	28	39	32
5	32	34	38	30	33	31
5	33	29	31	27	29	28
5	31	24	29	33	32	28
5	28	27	32	40	34	36
6	33	32	33	30	32	26
6	19	24	21	28	22	30
6	37	37	32	25	32	28
6	12	18	17	27	27	30
6	31	31	28	32	26	28
6	21	23	25	22	18	20
6	29	28	29	31	30	29
6	12	18	17	19	16	21
7	38	36	34	35	35	32
7	29	31	33	30	31	32
7	36	38	36	35	32	32
7	27	35	36	33	33	25
7	33	33	34	28	29	30
7	32	32	30	33	34	35
7	32	31	29	35	30	37
7	30	32	34	36	34	33
8	41	36	36	33	32	28
8	35	35	36	33	32	36
8	34	34	29	29	27	34
8	33	32	33	34	28	31
8	37	35	34	41	38	42
8	32	34	32	33	30	30
9	26	24	30	18	21	22
9	37	34	40	36	40	35
9	28	19	24	25	30	29
9	35	34	37	28	32	31
9	30	29	23	31	28	33
9	38	36	39	29	34	33
9	32	34	23	29	33	33
9	33	28	32	31	29	28
10	43	42	43	37	38	42
10	37	39	38	41	46	39
10	27	39	36	38	37	34
10	30	28	34	31	38	36
10	35	41	38	34	38	40
11	36	34	35	28	28	30
11	40	41	46	42	35	41
11	27	34	29	31	29	31
11	33	29	30	30	31	32
11	32	35	34	33	33	39
12	34	27	28	28	26	28
12	27	23	24	23	17	18
12	28	23	22	32	28	28
12	32	31	34	24	24	29
12	30	25	25	29	25	26
12	31	29	27	23	26	19
12	26	25	34	24	26	26
12	30	28	25	32	32	30
12	32	34	29	24	24	25
13	19	19	20	28	27	20
13	22	26	31	37	33	30
13	22	19	25	20	15	16
13	27	21	29	29	19	23
